seed,train_author,epochs_completed,loss_dataset,loss_value
2,fitzgerald,0,baum,10.845858573913574
2,fitzgerald,0,thompson,10.833414316177368
2,fitzgerald,0,dickens,10.837429841359455
2,fitzgerald,0,melville,10.847945213317873
2,fitzgerald,0,wells,10.841429471969604
2,fitzgerald,0,austen,10.837407112121582
2,fitzgerald,0,fitzgerald,10.83336877822876
2,fitzgerald,0,twain,10.837148348490397
2,fitzgerald,1,train,10.71000928878784
2,fitzgerald,1,baum,10.6034734249115
2,fitzgerald,1,thompson,10.603339195251465
2,fitzgerald,1,dickens,10.595409313837688
2,fitzgerald,1,melville,10.605955998102823
2,fitzgerald,1,wells,10.60132884979248
2,fitzgerald,1,austen,10.61759090423584
2,fitzgerald,1,fitzgerald,10.606828530629477
2,fitzgerald,1,twain,10.606034914652506
2,fitzgerald,2,train,10.557601070404052
2,fitzgerald,2,baum,10.507856845855711
2,fitzgerald,2,thompson,10.512730360031128
2,fitzgerald,2,dickens,10.501577297846476
2,fitzgerald,2,melville,10.517349481582642
2,fitzgerald,2,wells,10.50607736905416
2,fitzgerald,2,austen,10.529446125030518
2,fitzgerald,2,fitzgerald,10.510589440663656
2,fitzgerald,2,twain,10.516748110453287
2,fitzgerald,3,train,10.461370086669922
2,fitzgerald,3,baum,10.421935319900513
2,fitzgerald,3,thompson,10.426717519760132
2,fitzgerald,3,dickens,10.415558656056724
2,fitzgerald,3,melville,10.434600353240969
2,fitzgerald,3,wells,10.420270840326944
2,fitzgerald,3,austen,10.446483135223389
2,fitzgerald,3,fitzgerald,10.420345465342203
2,fitzgerald,3,twain,10.431843280792236
2,fitzgerald,4,train,10.365218830108642
2,fitzgerald,4,baum,10.330696821212769
2,fitzgerald,4,thompson,10.334553241729736
2,fitzgerald,4,dickens,10.325084129969278
2,fitzgerald,4,melville,10.352091868718466
2,fitzgerald,4,wells,10.330437421798706
2,fitzgerald,4,austen,10.361626625061035
2,fitzgerald,4,fitzgerald,10.323287963867188
2,fitzgerald,4,twain,10.345436096191406
2,fitzgerald,5,train,10.2611083984375
2,fitzgerald,5,baum,10.23438000679016
2,fitzgerald,5,thompson,10.237021684646606
2,fitzgerald,5,dickens,10.229099988937378
2,fitzgerald,5,melville,10.266464471817017
2,fitzgerald,5,wells,10.237829128901163
2,fitzgerald,5,austen,10.27260971069336
2,fitzgerald,5,fitzgerald,10.221148014068604
2,fitzgerald,5,twain,10.255102634429932
2,fitzgerald,6,train,10.155564022064208
2,fitzgerald,6,baum,10.138049125671388
2,fitzgerald,6,thompson,10.14074993133545
2,fitzgerald,6,dickens,10.132644891738892
2,fitzgerald,6,melville,10.17712370554606
2,fitzgerald,6,wells,10.143944581349691
2,fitzgerald,6,austen,10.182122230529783
2,fitzgerald,6,fitzgerald,10.11984157562256
2,fitzgerald,6,twain,10.162418524424234
2,fitzgerald,7,train,10.051996231079102
2,fitzgerald,7,baum,10.04436182975769
