seed,train_author,epochs_completed,loss_dataset,loss_value
4,baum,0,baum,10.842944860458374
4,baum,0,thompson,10.84738826751709
4,baum,0,dickens,10.85984272427029
4,baum,0,melville,10.852771377563476
4,baum,0,wells,10.84219455718994
4,baum,0,austen,10.841504096984863
4,baum,0,fitzgerald,10.844188849131266
4,baum,0,twain,10.827001452445984
4,baum,0,non_oz_baum,10.857619047164915
4,baum,0,non_oz_thompson,10.841861724853516
4,baum,0,contested,10.85128092765808
4,baum,1,train,10.774802017211917
4,baum,1,baum,10.651864051818848
4,baum,1,thompson,10.68083381652832
4,baum,1,dickens,10.687366485595703
4,baum,1,melville,10.691770458221436
4,baum,1,wells,10.667718887329102
4,baum,1,austen,10.6891508102417
4,baum,1,fitzgerald,10.67516549428304
4,baum,1,twain,10.673710882663729
4,baum,1,non_oz_baum,10.675822019577026
4,baum,1,non_oz_thompson,10.672189712524414
4,baum,1,contested,10.658998489379885
4,baum,2,train,10.639567184448245
4,baum,2,baum,10.56439971923828
4,baum,2,thompson,10.60117769241333
4,baum,2,dickens,10.602605289883083
4,baum,2,melville,10.611078548431395
4,baum,2,wells,10.583213806152344
4,baum,2,austen,10.61043898264567
4,baum,2,fitzgerald,10.597400983174644
4,baum,2,twain,10.599496722221376
4,baum,2,non_oz_baum,10.591569900512695
4,baum,2,non_oz_thompson,10.589648246765137
4,baum,2,contested,10.574593544006348
4,baum,3,train,10.5598388671875
4,baum,3,baum,10.503520965576172
4,baum,3,thompson,10.547956466674805
4,baum,3,dickens,10.551538679334852
4,baum,3,melville,10.56144790649414
4,baum,3,wells,10.52869462966919
4,baum,3,austen,10.557981967926024
4,baum,3,fitzgerald,10.544994672139486
4,baum,3,twain,10.550011098384855
4,baum,3,non_oz_baum,10.534271001815796
4,baum,3,non_oz_thompson,10.533808708190918
4,baum,3,contested,10.51691722869873
4,baum,4,train,10.49975299835205
4,baum,4,baum,10.45130705833435
4,baum,4,thompson,10.502934455871582
4,baum,4,dickens,10.507496056733308
4,baum,4,melville,10.51947841644287
4,baum,4,wells,10.4821457862854
4,baum,4,austen,10.51041062672933
4,baum,4,fitzgerald,10.498648325602211
4,baum,4,twain,10.50731772184372
4,baum,4,non_oz_baum,10.483410596847534
4,baum,4,non_oz_thompson,10.48599100112915
4,baum,4,contested,10.466291666030884
4,baum,5,train,10.448773193359376
4,baum,5,baum,10.400737047195436
4,baum,5,thompson,10.459258794784546
4,baum,5,dickens,10.46348836686876
4,baum,5,melville,10.476809120178222
4,baum,5,wells,10.436421155929564
4,baum,5,austen,10.46289046605428
4,baum,5,fitzgerald,10.451776345570885
4,baum,5,twain,10.466341257095335
4,baum,5,non_oz_baum,10.432193279266356
4,baum,5,non_oz_thompson,10.44076681137085
4,baum,5,contested,10.41649317741394
4,baum,6,train,10.392712211608886
4,baum,6,baum,10.347862005233765
4,baum,6,thompson,10.413758039474487
4,baum,6,dickens,10.419338897422508
4,baum,6,melville,10.432643127441406
4,baum,6,wells,10.389772891998293
4,baum,6,austen,10.415224075317385
4,baum,6,fitzgerald,10.402366797129313
4,baum,6,twain,10.425300061702728
4,baum,6,non_oz_baum,10.37835931777954
4,baum,6,non_oz_thompson,10.395533561706545
4,baum,6,contested,10.364851713180542
4,baum,7,train,10.340956878662109
4,baum,7,baum,10.292057991027832
4,baum,7,thompson,10.365938186645508
4,baum,7,dickens,10.375638679221824
4,baum,7,melville,10.38757915496826
4,baum,7,wells,10.342188596725464
4,baum,7,austen,10.365720907847086
4,baum,7,fitzgerald,10.351760387420654
4,baum,7,twain,10.381890892982485
4,baum,7,non_oz_baum,10.322478532791138
4,baum,7,non_oz_thompson,10.348899364471436
4,baum,7,contested,10.311609983444214
4,baum,8,train,10.279305839538576
4,baum,8,baum,10.23607850074768
4,baum,8,thompson,10.319076299667358
4,baum,8,dickens,10.33391214300085
4,baum,8,melville,10.34315528869629
4,baum,8,wells,10.295867681503296
4,baum,8,austen,10.317576090494793
4,baum,8,fitzgerald,10.30316718419393
4,baum,8,twain,10.339784145355225
4,baum,8,non_oz_baum,10.267496109008787
4,baum,8,non_oz_thompson,10.303579330444336
4,baum,8,contested,10.258893013000488
4,baum,9,train,10.22053565979004
4,baum,9,baum,10.181153535842896
4,baum,9,thompson,10.272785902023315
4,baum,9,dickens,10.29066492010046
4,baum,9,melville,10.299187469482424
4,baum,9,wells,10.249231815338137
4,baum,9,austen,10.26997677485148
4,baum,9,fitzgerald,10.254074414571129
4,baum,9,twain,10.298637986183168
4,baum,9,non_oz_baum,10.213519811630247
4,baum,9,non_oz_thompson,10.258023738861084
4,baum,9,contested,10.2060444355011
4,baum,10,train,10.16663875579834
4,baum,10,baum,10.128061056137083
4,baum,10,thompson,10.225637912750244
4,baum,10,dickens,10.243449352405689
4,baum,10,melville,10.25238332748413
4,baum,10,wells,10.200384378433228
4,baum,10,austen,10.218746980031332
4,baum,10,fitzgerald,10.204456170399984
4,baum,10,twain,10.254462897777556
4,baum,10,non_oz_baum,10.159662246704102
4,baum,10,non_oz_thompson,10.21007251739502
4,baum,10,contested,10.154924631118774
4,baum,11,train,10.106404304504396
4,baum,11,baum,10.073736906051636
4,baum,11,thompson,10.179152011871338
4,baum,11,dickens,10.197017916926631
4,baum,11,melville,10.207376861572266
4,baum,11,wells,10.153788089752195
4,baum,11,austen,10.168723106384276
4,baum,11,fitzgerald,10.156789143880207
4,baum,11,twain,10.211678504943848
4,baum,11,non_oz_baum,10.10620927810669
4,baum,11,non_oz_thompson,10.162448406219482
4,baum,11,contested,10.10259222984314
4,baum,12,train,10.046534729003906
4,baum,12,baum,10.020864248275757
4,baum,12,thompson,10.133420467376707
4,baum,12,dickens,10.15219391716851
4,baum,12,melville,10.164108085632323
4,baum,12,wells,10.107028484344482
4,baum,12,austen,10.120383898417154
4,baum,12,fitzgerald,10.11014970143636
4,baum,12,twain,10.169014275074003
4,baum,12,non_oz_baum,10.053809881210327
4,baum,12,non_oz_thompson,10.114703178405762
4,baum,12,contested,10.051275730133057
4,baum,13,train,9.994891166687012
4,baum,13,baum,9.96832513809204
4,baum,13,thompson,10.0876944065094
4,baum,13,dickens,10.106933805677626
4,baum,13,melville,10.120277881622314
4,baum,13,wells,10.05934739112854
4,baum,13,austen,10.071360429128012
4,baum,13,fitzgerald,10.062398751576742
4,baum,13,twain,10.125744462013245
4,baum,13,non_oz_baum,10.001235008239746
4,baum,13,non_oz_thompson,10.067555904388428
4,baum,13,contested,10.00069260597229
4,baum,14,train,9.931558990478516
4,baum,14,baum,9.916191577911375
4,baum,14,thompson,10.04124140739441
4,baum,14,dickens,10.059604468169036
4,baum,14,melville,10.075126934051514
4,baum,14,wells,10.01148009300232
4,baum,14,austen,10.020438035329184
4,baum,14,fitzgerald,10.014748573303224
4,baum,14,twain,10.081343173980711
4,baum,14,non_oz_baum,9.948594331741331
4,baum,14,non_oz_thompson,10.019536018371582
4,baum,14,contested,9.950983047485352
4,baum,15,train,9.88272762298584
4,baum,15,baum,9.864407539367676
4,baum,15,thompson,9.995625734329224
4,baum,15,dickens,10.01364227577492
4,baum,15,melville,10.031898021697998
4,baum,15,wells,9.963750839233398
4,baum,15,austen,9.971486250559488
4,baum,15,fitzgerald,9.968003273010254
4,baum,15,twain,10.037732303142548
4,baum,15,non_oz_baum,9.897071599960327
4,baum,15,non_oz_thompson,9.97162103652954
4,baum,15,contested,9.90140700340271
4,baum,16,train,9.827091026306151
4,baum,16,baum,9.813039541244509
4,baum,16,thompson,9.95113492012024
4,baum,16,dickens,9.968726793924969
4,baum,16,melville,9.989587020874025
4,baum,16,wells,9.91702127456665
4,baum,16,austen,9.923435052235922
4,baum,16,fitzgerald,9.921814759572348
4,baum,16,twain,9.994720160961151
4,baum,16,non_oz_baum,9.846449136734009
4,baum,16,non_oz_thompson,9.924357891082764
4,baum,16,contested,9.852156400680542
4,baum,17,train,9.77314624786377
4,baum,17,baum,9.761282205581663
4,baum,17,thompson,9.906452417373655
4,baum,17,dickens,9.923537890116371
4,baum,17,melville,9.946650981903076
4,baum,17,wells,9.870598077774048
4,baum,17,austen,9.874332110087076
4,baum,17,fitzgerald,9.87576468785604
4,baum,17,twain,9.951857388019562
4,baum,17,non_oz_baum,9.795544862747192
4,baum,17,non_oz_thompson,9.877519607543944
4,baum,17,contested,9.802566289901732
4,baum,18,train,9.72115364074707
4,baum,18,baum,9.710338830947876
4,baum,18,thompson,9.861392736434937
4,baum,18,dickens,9.877085403159812
4,baum,18,melville,9.902902698516844
4,baum,18,wells,9.822757005691528
4,baum,18,austen,9.82468843460083
4,baum,18,fitzgerald,9.828956127166748
4,baum,18,twain,9.907544553279877
4,baum,18,non_oz_baum,9.744695901870728
4,baum,18,non_oz_thompson,9.830080509185793
4,baum,18,contested,9.753734350204468
4,baum,19,train,9.656386375427246
4,baum,19,baum,9.658421754837036
4,baum,19,thompson,9.817532777786257
4,baum,19,dickens,9.833681707028989
4,baum,19,melville,9.861813354492188
4,baum,19,wells,9.77825093269348
4,baum,19,austen,9.778007666269938
4,baum,19,fitzgerald,9.784846782684326
4,baum,19,twain,9.866522192955015
4,baum,19,non_oz_baum,9.694421768188477
4,baum,19,non_oz_thompson,9.784769535064695
4,baum,19,contested,9.704296827316284
4,baum,20,train,9.61341896057129
4,baum,20,baum,9.607795238494871
4,baum,20,thompson,9.772910833358765
4,baum,20,dickens,9.788463133352774
4,baum,20,melville,9.819286155700684
4,baum,20,wells,9.73127555847168
4,baum,20,austen,9.72992467880249
4,baum,20,fitzgerald,9.738778750101725
4,baum,20,twain,9.823473036289217
4,baum,20,non_oz_baum,9.643937587738035
4,baum,20,non_oz_thompson,9.737689018249512
4,baum,20,contested,9.656057357788086
4,baum,21,train,9.545614242553713
4,baum,21,baum,9.55741000175476
4,baum,21,thompson,9.729397296905518
4,baum,21,dickens,9.744119432237412
4,baum,21,melville,9.77794246673584
4,baum,21,wells,9.6857590675354
4,baum,21,austen,9.682839711507162
4,baum,21,fitzgerald,9.693371136983236
4,baum,21,twain,9.782014966011047
4,baum,21,non_oz_baum,9.593897819519045
4,baum,21,non_oz_thompson,9.691966533660889
4,baum,21,contested,9.607487916946411
4,baum,22,train,9.503414154052734
4,baum,22,baum,9.50755262374878
4,baum,22,thompson,9.685381174087524
4,baum,22,dickens,9.699378614072446
4,baum,22,melville,9.73568410873413
4,baum,22,wells,9.639467239379885
4,baum,22,austen,9.634896914164225
4,baum,22,fitzgerald,9.6480131149292
4,baum,22,twain,9.7391357421875
4,baum,22,non_oz_baum,9.543948411941528
4,baum,22,non_oz_thompson,9.645597457885742
4,baum,22,contested,9.559792041778564
4,baum,23,train,9.447633743286133
4,baum,23,baum,9.457123279571531
4,baum,23,thompson,9.642256259918211
4,baum,23,dickens,9.656093774018464
