seed,train_author,epochs_completed,loss_dataset,loss_value
5,twain,0,baum,10.844696998596191
5,twain,0,thompson,10.838064193725586
5,twain,0,dickens,10.842991574605303
5,twain,0,melville,10.842632717556423
5,twain,0,wells,10.84967311223348
5,twain,0,austen,10.850854360140287
5,twain,0,fitzgerald,10.849552018301829
5,twain,0,twain,10.828452110290527
5,twain,1,train,10.844267845153809
5,twain,1,baum,10.798377752304075
5,twain,1,thompson,10.79291582107544
5,twain,1,dickens,10.79273370107015
5,twain,1,melville,10.78587818145752
5,twain,1,wells,10.802380561828612
5,twain,1,austen,10.804846030015211
5,twain,1,fitzgerald,10.805742263793944
5,twain,1,twain,10.776856708526612
5,twain,2,train,10.798521041870115
5,twain,2,baum,10.75946307182312
5,twain,2,thompson,10.755777835845947
5,twain,2,dickens,10.751148382822672
5,twain,2,melville,10.740610864427357
5,twain,2,wells,10.761964321136476
5,twain,2,austen,10.765190271230844
5,twain,2,fitzgerald,10.76806218283517
5,twain,2,twain,10.733122444152832
5,twain,3,train,10.75736141204834
5,twain,3,baum,10.725567817687988
5,twain,3,thompson,10.72336721420288
5,twain,3,dickens,10.716039021809896
5,twain,3,melville,10.70252513885498
5,twain,3,wells,10.72629721959432
5,twain,3,austen,10.73119537646954
5,twain,3,fitzgerald,10.735498564583915
5,twain,3,twain,10.695930194854736
5,twain,4,train,10.722755432128906
5,twain,4,baum,10.69825792312622
5,twain,4,thompson,10.697118282318115
5,twain,4,dickens,10.687444591522215
5,twain,4,melville,10.67289596133762
5,twain,4,wells,10.697410742441813
5,twain,4,austen,10.702968964209925
5,twain,4,fitzgerald,10.709009715488978
5,twain,4,twain,10.666211128234863
5,twain,5,train,10.68679141998291
5,twain,5,baum,10.673397302627563
5,twain,5,thompson,10.673163175582886
5,twain,5,dickens,10.662752596537272
5,twain,5,melville,10.64638286166721
5,twain,5,wells,10.671614329020182
5,twain,5,austen,10.678883772629955
5,twain,5,fitzgerald,10.68563870021275
5,twain,5,twain,10.64119644165039
5,twain,6,train,10.654436111450195
5,twain,6,baum,10.651602268218994
5,twain,6,thompson,10.65173602104187
5,twain,6,dickens,10.641068426767983
5,twain,6,melville,10.622872140672472
5,twain,6,wells,10.648622035980225
5,twain,6,austen,10.657925312335674
5,twain,6,fitzgerald,10.665179661342076
5,twain,6,twain,10.61976661682129
5,twain,7,train,10.630596160888672
5,twain,7,baum,10.632559776306152
5,twain,7,thompson,10.632513761520386
5,twain,7,dickens,10.621513684590658
5,twain,7,melville,10.60213820139567
5,twain,7,wells,10.628498554229736
5,twain,7,austen,10.639466579143818
5,twain,7,fitzgerald,10.647206442696708
